,0
const,0.32422881582515706
All_Population_Count_2015,1.0884617127842762
Annual_Precipitation_2015,0.8008078160108023
Day_Land_Surface_Temp_2015,0.8073963195327206
Diurnal_Temperature_Range_2015,1.0103464011966479
Enhanced_Vegetation_Index_2015,0.8095530026327027
Global_Human_Footprint,1.0479929319207146
Gross_Cell_Production,0.952359330366178
Growing_Season_Length,1.2579514440473953
Irrigation,1.0577968756289844
ITN_Coverage_2015,1.2204860108281532
Land_Surface_Temperature_2015,0.9046706637813532
Malaria_Prevalence_2015,1.0383563967369447
Mean_Temperature_2015,1.0941384066677389
Nightlights_Composite,1.007116772798743
Proximity_to_Water,0.8648481943732961
V025,1.0459389849501544
ToiletNew,0.9762069724591224
HIV,0.6602961599424972
HouseholdAmenities,0.9872319594107642
AnyTransportation,0.963146244513939
FloorNew,1.1049762882611445
V151,0.9878917069081339
V404,0.9677061996859462
PotatoesBeansLentils,0.9434033080684128
MeatorFishNew,0.9343303406017075
AnyFruitNew,0.9305358826088483
anyDairyNew,0.878035053204318
AnyVegetables,0.8983547918979583
MaternalAnemia,1.457613427946525
B4,0.8815815921535833
ChildIPdrugs,0.8864928623988514
M45,0.9557347949192686
ChildAgeGroups_1.0,1.9625652516900385
ChildAgeGroups_2.0,1.909499566330917
ChildAgeGroups_3.0,1.412414675683047
ChildAgeGroups_4.0,1.2113792988912737
ChildAgeGroups_5.0,0.49901586346210786
V024_1.0,0.39736734954308733
V024_2.0,0.7225670765470837
V024_3.0,0.2908518685639055
V024_4.0,0.6029273581819656
V024_5.0,1.6192954027675088
V024_6.0,0.43258977058443965
V024_7.0,0.34150387754081285
V024_8.0,0.6921316999599313
V024_9.0,0.6765852233118913
V024_10.0,0.6037295404413417
V106_1.0,1.0045896255695026
V106_2.0,0.900919979315166
V106_3.0,0.8071477513447309
HusbandEducationNew_1.0,1.0202417354615385
HusbandEducationNew_2.0,0.9970947957668439
HusbandEducationNew_3.0,1.322098293488374
MaternalOccNew_1.0,1.1324817961758693
MaternalOccNew_2.0,1.167479827732384
HusbandOccNew_1.0,0.9442991036731555
HusbandOccNew_2.0,0.9130306027174484
WaterSourceNew_1.0,1.0935548700123654
WaterSourceNew_2.0,1.0997713571700931
TimetoWaterNew_1.0,1.0285581444738112
TimetoWaterNew_2.0,0.9413548484063236
ReligionRecode_1.0,0.7334647959785279
ReligionRecode_2.0,0.836344873320227
ReligionRecode_3.0,0.8969251512736208
HouseholdNumGroup_1.0,1.0109558423186142
HouseholdNumGroup_2.0,0.9938590823130241
V158_1.0,0.9123377599864457
V158_2.0,0.8618099850876231
V159_1.0,1.0694827177013004
V159_2.0,0.952496367263125
V157_1.0,1.0660159661639164
V157_2.0,1.2392681031269621
V190_1.0,1.5533554666204885
V190_2.0,1.3211560604245989
V190_3.0,1.113432063099427
V190_4.0,1.168012529215131
BirthSizeGrouped_1.0,1.0207264543817363
BirthSizeGrouped_2.0,1.0974292482500683
BirthSizeGrouped_3.0,0.7548363300073249
HeightNew_1.0,2.156331844981045
HeightNew_2.0,1.7757544424575429
WeightGroupNew_1.0,2.8214495742155568
WeightGroupNew_2.0,1.537977399345895
WeightGroupNew_3.0,1.265841919241714
WeightGroupNew_4.0,2.9371302768163474
BirthOrderGrouped_1.0,1.1361814475232301
BirthOrderGrouped_2.0,1.2688640704253762
V013_1.0,1.7192952566681332
V013_2.0,1.5449046044246677
V013_3.0,1.5673082834429066
V013_4.0,1.4730501241104994
V013_5.0,1.3500116266114008
V013_6.0,1.182410835467529
