,Neighbors,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,12,50,"[988, 68, 293, 100]",0.7427013596521499,0.552209354392341,0.27065411046067706,0.36319910921848175
1,12,100,"[991, 65, 292, 101]",0.7435571813099593,0.5557272704825982,0.2709086281496564,0.36418979392827505
2,12,150,"[992, 64, 294, 99]",0.7441645386155014,0.5579228973273931,0.27238483074573683,0.3659957766294476
3,14,50,"[988, 68, 296, 97]",0.7438884671129823,0.5575078649591432,0.26917790786459656,0.3630030349021788
4,14,100,"[993, 63, 296, 97]",0.7446200565946581,0.56041955141821,0.27014507508271823,0.3644987160235675
5,14,150,"[998, 58, 293, 100]",0.744923735247429,0.5616622151088604,0.2704504963094935,0.36504343429032426
6,16,50,"[994, 62, 295, 98]",0.745241217475326,0.5640483320614597,0.2664800203614151,0.3619201317779817
7,16,100,"[994, 62, 291, 102]",0.7455448961280972,0.5652947356808803,0.266938152201578,0.36259387323786924
8,16,150,"[994, 62, 291, 102]",0.7459590033818759,0.5666789859920117,0.26851616187325017,0.3643284028300191
