,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[1015, 41, 324, 69]",0.7451860031748223,0.5879923371760525,0.20162891320946805,0.3002623331605657
1,rbf,0.1,1.0,,"[1020, 36, 319, 74]",0.7460832355580095,0.607305903119036,0.18014762025960807,0.2778044092627031
2,poly,0.1,1.0,2.0,"[1022, 34, 330, 63]",0.7445372351439022,0.5771841547344174,0.21674726393484348,0.3150337473007768
3,poly,0.1,1.0,3.0,"[853, 203, 259, 134]",0.6441576368279385,0.35501799740397555,0.3584627131585645,0.3517321282383211
4,rbf,0.1,10.0,,"[1030, 26, 354, 39]",0.7392366622955345,0.5940614439899333,0.12165945533214559,0.20178010905164726
5,poly,0.1,10.0,2.0,"[246, 810, 86, 307]",0.47382151977362136,0.2745449312295758,0.5685416136421482,0.36980568189771396
6,poly,0.1,10.0,3.0,"[181, 875, 103, 290]",0.35698805990751603,0.26397871134881673,0.7684907101043523,0.39273997201488864
7,linear,1.0,,,"[1015, 41, 324, 69]",0.7451860031748222,0.5873288856535516,0.20295240519216082,0.30161943763647664
8,rbf,1.0,1.0,,"[1004, 52, 299, 94]",0.7443439850921388,0.5714156437613213,0.2289641130058539,0.32692499629993804
9,poly,1.0,1.0,2.0,"[1011, 45, 317, 76]",0.7052798674856786,0.44054390136227345,0.2718248918299822,0.3328027662281559
10,poly,1.0,1.0,3.0,"[475, 581, 208, 185]",0.3927531230588722,0.26208711607883195,0.6824128276915246,0.37825681713180026
11,rbf,1.0,10.0,,"[1000, 56, 300, 93]",0.740382359030989,0.5513658545470737,0.22870959531687451,0.3233049288614963
12,poly,1.0,10.0,2.0,"[723, 333, 280, 113]",0.4519704603492305,0.25799609657275024,0.542122677526088,0.34776576662730224
13,poly,1.0,10.0,3.0,"[194, 862, 56, 337]",0.3815584236317206,0.25711415666725157,0.6795113260371595,0.3727633312755495
14,linear,10.0,,,"[1015, 41, 324, 69]",0.7452136103250743,0.5874480272292744,0.2030542122677526,0.3017469088945546
15,rbf,10.0,1.0,,"[994, 62, 295, 98]",0.7397888053005729,0.5450629621208998,0.24464240264698395,0.3376783467250928
16,poly,10.0,1.0,2.0,"[212, 844, 82, 311]",0.4711436261991856,0.27191372753935594,0.5646220412318657,0.3660866838297408
17,poly,10.0,1.0,3.0,"[94, 962, 57, 336]",0.39002001518393264,0.254404468532767,0.6497327564265716,0.36514491875402466
18,rbf,10.0,10.0,,"[1000, 56, 300, 93]",0.740382359030989,0.5513658545470737,0.22870959531687451,0.3233049288614963
19,poly,10.0,10.0,2.0,"[951, 105, 321, 72]",0.458968872938091,0.2619466876150375,0.5442606261135149,0.35229105854252507
20,poly,10.0,10.0,3.0,"[247, 809, 93, 300]",0.3459590033818759,0.2606365692391391,0.7687961313311276,0.3892275118219452
21,linear,100.0,,,"[1015, 41, 324, 69]",0.745310235350956,0.5887497775187379,0.20167981674726393,0.30038180439071377
22,rbf,100.0,1.0,,"[994, 62, 295, 98]",0.7398026088756988,0.5451348315358082,0.24459149910918807,0.33764439696785387
23,poly,100.0,1.0,2.0,"[856, 200, 335, 58]",0.4545655324729105,0.263851462491773,0.5637057775515398,0.3587531570150966
24,poly,100.0,1.0,3.0,"[85, 971, 13, 380]",0.36858306301332044,0.26026167011037193,0.7218630694833291,0.3821669062208809
25,rbf,100.0,10.0,,"[1000, 56, 300, 93]",0.740382359030989,0.5513658545470737,0.22870959531687451,0.3233049288614963
26,poly,100.0,10.0,2.0,"[593, 463, 221, 172]",0.41787562978811515,0.26395557459143915,0.6395520488673963,0.3733500744692888
27,poly,100.0,10.0,3.0,"[74, 982, 14, 379]",0.3687625094899579,0.26543999251139544,0.7511326037159582,0.3916754226339956
28,linear,1000.0,,,"[815, 241, 207, 186]",0.7166816205397198,0.45662378466809433,0.22769152456095698,0.3028894087218794
29,rbf,1000.0,1.0,,"[994, 62, 295, 98]",0.7397888053005729,0.54508505609675,0.24454059557139218,0.33758624089569844
30,poly,1000.0,1.0,2.0,"[364, 692, 117, 276]",0.4371868313893298,0.2645863249688841,0.602494273351998,0.36726692162854135
31,poly,1000.0,1.0,3.0,"[320, 736, 156, 237]",0.38921940782662706,0.25856446051052523,0.6734029015016544,0.37306007301653427
32,rbf,1000.0,10.0,,"[1000, 56, 300, 93]",0.740382359030989,0.5513658545470737,0.22870959531687451,0.3233049288614963
33,poly,1000.0,10.0,2.0,"[198, 858, 74, 319]",0.4067499482365933,0.2639875104222256,0.6641893611606007,0.3777603742063339
34,poly,1000.0,10.0,3.0,"[1055, 1, 393, 0]",0.6733107874939609,0.2698415503006081,0.11600916263680325,0.1362695912268633
