,Max_depth,N_estimators,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,"[50, 100, 150]",50,"[1031, 25, 353, 40]",0.7429360204292912,0.6438147777532374,0.11646729447696616,0.1972392117369093
1,1,"[50, 100, 150]",100,"[1031, 25, 351, 42]",0.7428808061287875,0.6440519718092761,0.11585645202341563,0.19637496187488698
2,1,"[50, 100, 150]",150,"[1031, 25, 353, 40]",0.7427979846780317,0.6440442964008563,0.11519470603206923,0.19541966130621277
3,1,"[50, 100, 150]",50,"[1026, 30, 341, 52]",0.7457105390296087,0.636279031408711,0.14532960040722834,0.23661340695466282
4,1,"[50, 100, 150]",100,"[1026, 30, 341, 52]",0.7456829318793569,0.6372998079765646,0.1442606261135149,0.23526213121739606
5,1,"[50, 100, 150]",150,"[1026, 30, 341, 52]",0.7456829318793566,0.637486072856572,0.14410791550012728,0.23507165725892393
6,1,"[50, 100, 150]",50,"[1020, 36, 326, 67]",0.7476154323969908,0.6206156602476216,0.17816238228556885,0.27684181143381875
7,1,"[50, 100, 150]",100,"[1020, 36, 327, 66]",0.7476016288218649,0.6202264618903565,0.17851870705014,0.2772368060702965
8,1,"[50, 100, 150]",150,"[1020, 36, 329, 64]",0.747601628821865,0.620492227495966,0.1782132858233647,0.276893795897435
9,2,"[50, 100, 150]",50,"[1017, 39, 322, 71]",0.747863896749258,0.6147517057305457,0.18803766861796894,0.28796287520264496
10,2,"[50, 100, 150]",100,"[1017, 39, 324, 69]",0.7479191110497618,0.6150963073600275,0.18813947569356068,0.2881306166552023
11,2,"[50, 100, 150]",150,"[1017, 39, 325, 68]",0.7477810752985024,0.6147039136092954,0.1872741155510308,0.2870725589243963
12,2,"[50, 100, 150]",50,"[1012, 44, 310, 83]",0.7487197184070673,0.6054108144793785,0.21068974293713416,0.31258656673885
13,2,"[50, 100, 150]",100,"[1012, 44, 311, 82]",0.7487059148319414,0.6053722290490503,0.2105879358615424,0.3124732645388459
14,2,"[50, 100, 150]",150,"[1012, 44, 311, 82]",0.7487197184070674,0.6054960947246075,0.2105370323237465,0.3124302571279932
15,2,"[50, 100, 150]",50,"[1010, 46, 304, 89]",0.7486645041065636,0.6013992122326475,0.21695087808602698,0.31885877520938893
16,2,"[50, 100, 150]",100,"[1011, 45, 304, 89]",0.7488715577334529,0.6026634335007308,0.21700178162382286,0.31908799358670703
17,2,"[50, 100, 150]",150,"[1011, 45, 307, 86]",0.7488163434329491,0.602458977242028,0.21674726393484348,0.3187874575458591
18,3,"[50, 100, 150]",50,"[1012, 44, 309, 84]",0.7490372006349644,0.6033133519034429,0.21766352761516927,0.31989396037985235
19,3,"[50, 100, 150]",100,"[1011, 45, 309, 84]",0.7489681827593346,0.6033498370334659,0.2168490710104352,0.31902145850739166
20,3,"[50, 100, 150]",150,"[1011, 45, 310, 83]",0.7488715577334529,0.6027702538104617,0.21679816747263936,0.3188867475821537
21,3,"[50, 100, 150]",50,"[1009, 47, 307, 86]",0.7490372006349645,0.6010112705897231,0.2217358106388394,0.3239381459423376
22,3,"[50, 100, 150]",100,"[1010, 46, 307, 86]",0.7490372006349644,0.6009638216699928,0.22178671417663529,0.3239895224318549
23,3,"[50, 100, 150]",150,"[1010, 46, 307, 86]",0.7490924149354684,0.6013013364372762,0.22178671417663529,0.32403721603789837
24,3,"[50, 100, 150]",50,"[1010, 46, 307, 86]",0.7490233970598384,0.5993215862009448,0.22468821583100024,0.326834184858881
25,3,"[50, 100, 150]",100,"[1010, 46, 307, 86]",0.7486783076816896,0.5975562312034159,0.22417918045304147,0.32603192796300917
26,3,"[50, 100, 150]",150,"[1010, 46, 307, 86]",0.7487059148319414,0.597769604602584,0.2240773733774497,0.3259561308338099
27,4,"[50, 100, 150]",50,"[1010, 46, 306, 87]",0.7492442542618538,0.6031612369462606,0.2201578009671672,0.3225589169604474
28,4,"[50, 100, 150]",100,"[1010, 46, 306, 87]",0.74918903996135,0.6028188794226608,0.2201578009671672,0.32251258786452
29,4,"[50, 100, 150]",150,"[1010, 46, 306, 87]",0.7489957899095866,0.6018238952602124,0.21985237974039196,0.3220426511719698
30,4,"[50, 100, 150]",50,"[1011, 45, 305, 88]",0.7489819863344607,0.600586014951506,0.22188852125222702,0.3240419444892821
31,4,"[50, 100, 150]",100,"[1011, 45, 305, 88]",0.7489267720339567,0.600282691608748,0.22183761771443114,0.32394300314937363
32,4,"[50, 100, 150]",150,"[1011, 45, 306, 87]",0.7489267720339567,0.6001815049913756,0.2219903283278188,0.3240947426503858
33,4,"[50, 100, 150]",50,"[1012, 44, 307, 86]",0.7491062185105942,0.5988592920224102,0.22652074319165183,0.32869161676251857
34,4,"[50, 100, 150]",100,"[1011, 45, 304, 89]",0.7492028435364759,0.5995615916651847,0.22621532196487654,0.3284803984090255
35,4,"[50, 100, 150]",150,"[1011, 45, 307, 86]",0.7491476292359721,0.5991994387367183,0.22631712904046833,0.32853600484722245
