,Gauss,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,1,100,"[137, 173, 108, 362]",0.6254008980115459,0.7545253754195911,0.5601790662971647,0.642624669109896
1,1,200,"[137, 173, 109, 361]",0.6254778704297627,0.7551669229768059,0.5594116393093158,0.6423847145414785
2,1,300,"[138, 172, 109, 361]",0.6256574727389352,0.7551960024964391,0.5597953528032403,0.6426610678545689
3,1,400,"[137, 173, 109, 361]",0.6259910198845413,0.7556465857760953,0.5599232573012152,0.642925559683649
4,1,500,"[137, 173, 109, 361]",0.625734445157152,0.755510012852634,0.5594969089746323,0.6425919562789649
5,1,800,"[137, 173, 107, 363]",0.6259140474663246,0.7555209340423825,0.5599232573012152,0.6428757895755144
6,1,1000,"[136, 174, 107, 363]",0.6258883899935856,0.7556314186825936,0.5597100831379237,0.6427690358537322
7,0,100,"[200, 110, 152, 318]",0.6618858242463117,0.7394418843571907,0.6765721594542742,0.7066064857233407
8,0,200,"[201, 109, 152, 318]",0.6617318794098781,0.7394590496712709,0.6761458111276912,0.7063809424616138
9,0,300,"[201, 109, 152, 318]",0.661783194355356,0.7395275347262792,0.6761458111276913,0.7064118854247621
10,0,400,"[201, 109, 152, 318]",0.6617318794098781,0.7395047051698137,0.6760605414623747,0.7063550738847091
11,0,500,"[201, 109, 152, 318]",0.6617575368826171,0.7394487241294245,0.6762310807930079,0.7064230582322704
12,0,800,"[201, 109, 153, 317]",0.6619114817190507,0.7395890587849878,0.6763589852909827,0.706556264472297
13,0,1000,"[201, 109, 152, 318]",0.6617575368826171,0.7394712433046267,0.6761884459603495,0.706409885540889
